[2019-11-05:08:25:09]	id_facture='20657' AND id_facture='20657' AND  migcms_deleted != 'y' 
[2019-11-05:08:25:14]	id_facture='20657' AND id_facture='20657' AND  migcms_deleted != 'y' 
[2019-11-05:08:25:25]	 (  LOWER(id) LIKE '%20191527%'  OR  LOWER(adresse_rue) LIKE '%20191527%'  OR  LOWER(adresse_numero) LIKE '%20191527%'  OR  LOWER(adresse_ville) LIKE '%20191527%'  OR  LOWER(lastname) LIKE '%20191527%'  OR  LOWER(firstname) LIKE '%20191527%'  OR  LOWER(city) LIKE '%20191527%'  OR  LOWER(email) LIKE '%20191527%'  OR  id_member_agence IN ( select id FROM members WHERE CONCAT(members.lastname," ",members.firstname) LIKE '%20191527%' AND type_member IN('Agence','Notaire') and lastname != '' ) OR  id_agence2 IN ( select id FROM members WHERE CONCAT(members.lastname," ",members.firstname) LIKE '%20191527%' AND type_member IN('Agence','Notaire') and lastname != '' ) OR  facture_civilite_id IN ( select id FROM migcms_codes WHERE v1 LIKE '%20191527%' AND id_code_type='1' and visible='y' ) OR  LOWER(facture_nom) LIKE '%20191527%'  OR  LOWER(facture_prenom) LIKE '%20191527%'  OR  LOWER(facture_societe_tva) LIKE '%20191527%'  OR  LOWER(facture_city) LIKE '%20191527%'  OR  LOWER(facture_country) LIKE '%20191527%'  OR  LOWER(facture_email) LIKE '%20191527%'  OR  id_facture_liaison IN ( select id FROM intranet_factures WHERE fusion_facture LIKE '%20191527%' ) OR  id_code_cible IN ( select id FROM migcms_codes WHERE v1 LIKE '%20191527%' AND id_code_type='2' and visible='y' ) OR  LOWER(code_promo) LIKE '%20191527%'  OR  LOWER(numero_facture) LIKE '%20191527%'  OR  LOWER(statut) LIKE '%20191527%'  OR  delai IN ( select id FROM handmade_certigreen_delais_facturation WHERE nom LIKE '%20191527%' ) OR  LOWER(delai_autre) LIKE '%20191527%'  OR  LOWER(reference) LIKE '%20191527%'  OR  envoyee_a IN ( select id FROM migcms_codes WHERE v1 LIKE '%20191527%' AND id_code_type='3' and visible='y' ) OR  LOWER(migcms_id) LIKE '%20191527%'  )  AND validation = 1 AND (type_facture IS NULL OR type_facture = '' OR (type_facture='Facture' AND numero_facture > 0) OR (type_facture='nc' AND numero_nc > 0))   AND (numero_nc IS NULL or numero_nc = 0) AND  migcms_deleted != 'y' 
[2019-11-05:08:25:29]	id_facture='21705' AND id_facture='21705' AND  migcms_deleted != 'y' 
[2019-11-05:08:25:35]	id_facture='21705' AND id_facture='21705' AND  migcms_deleted != 'y' 
[2019-11-05:08:25:44]	 (  LOWER(id) LIKE '%20191283%'  OR  LOWER(adresse_rue) LIKE '%20191283%'  OR  LOWER(adresse_numero) LIKE '%20191283%'  OR  LOWER(adresse_ville) LIKE '%20191283%'  OR  LOWER(lastname) LIKE '%20191283%'  OR  LOWER(firstname) LIKE '%20191283%'  OR  LOWER(city) LIKE '%20191283%'  OR  LOWER(email) LIKE '%20191283%'  OR  id_member_agence IN ( select id FROM members WHERE CONCAT(members.lastname," ",members.firstname) LIKE '%20191283%' AND type_member IN('Agence','Notaire') and lastname != '' ) OR  id_agence2 IN ( select id FROM members WHERE CONCAT(members.lastname," ",members.firstname) LIKE '%20191283%' AND type_member IN('Agence','Notaire') and lastname != '' ) OR  facture_civilite_id IN ( select id FROM migcms_codes WHERE v1 LIKE '%20191283%' AND id_code_type='1' and visible='y' ) OR  LOWER(facture_nom) LIKE '%20191283%'  OR  LOWER(facture_prenom) LIKE '%20191283%'  OR  LOWER(facture_societe_tva) LIKE '%20191283%'  OR  LOWER(facture_city) LIKE '%20191283%'  OR  LOWER(facture_country) LIKE '%20191283%'  OR  LOWER(facture_email) LIKE '%20191283%'  OR  id_facture_liaison IN ( select id FROM intranet_factures WHERE fusion_facture LIKE '%20191283%' ) OR  id_code_cible IN ( select id FROM migcms_codes WHERE v1 LIKE '%20191283%' AND id_code_type='2' and visible='y' ) OR  LOWER(code_promo) LIKE '%20191283%'  OR  LOWER(numero_facture) LIKE '%20191283%'  OR  LOWER(statut) LIKE '%20191283%'  OR  delai IN ( select id FROM handmade_certigreen_delais_facturation WHERE nom LIKE '%20191283%' ) OR  LOWER(delai_autre) LIKE '%20191283%'  OR  LOWER(reference) LIKE '%20191283%'  OR  envoyee_a IN ( select id FROM migcms_codes WHERE v1 LIKE '%20191283%' AND id_code_type='3' and visible='y' ) OR  LOWER(migcms_id) LIKE '%20191283%'  )  AND validation = 1 AND (type_facture IS NULL OR type_facture = '' OR (type_facture='Facture' AND numero_facture > 0) OR (type_facture='nc' AND numero_nc > 0))   AND (numero_nc IS NULL or numero_nc = 0) AND  migcms_deleted != 'y' 
[2019-11-05:08:25:48]	id_facture='20937' AND id_facture='20937' AND  migcms_deleted != 'y' 
[2019-11-05:08:25:57]	id_facture='20937' AND id_facture='20937' AND  migcms_deleted != 'y' 
[2019-11-05:08:26:02]	id_facture='20937' AND id_facture='20937' AND  migcms_deleted != 'y' 
[2019-11-05:08:26:18]	 (  LOWER(id) LIKE '%20191548%'  OR  LOWER(adresse_rue) LIKE '%20191548%'  OR  LOWER(adresse_numero) LIKE '%20191548%'  OR  LOWER(adresse_ville) LIKE '%20191548%'  OR  LOWER(lastname) LIKE '%20191548%'  OR  LOWER(firstname) LIKE '%20191548%'  OR  LOWER(city) LIKE '%20191548%'  OR  LOWER(email) LIKE '%20191548%'  OR  id_member_agence IN ( select id FROM members WHERE CONCAT(members.lastname," ",members.firstname) LIKE '%20191548%' AND type_member IN('Agence','Notaire') and lastname != '' ) OR  id_agence2 IN ( select id FROM members WHERE CONCAT(members.lastname," ",members.firstname) LIKE '%20191548%' AND type_member IN('Agence','Notaire') and lastname != '' ) OR  facture_civilite_id IN ( select id FROM migcms_codes WHERE v1 LIKE '%20191548%' AND id_code_type='1' and visible='y' ) OR  LOWER(facture_nom) LIKE '%20191548%'  OR  LOWER(facture_prenom) LIKE '%20191548%'  OR  LOWER(facture_societe_tva) LIKE '%20191548%'  OR  LOWER(facture_city) LIKE '%20191548%'  OR  LOWER(facture_country) LIKE '%20191548%'  OR  LOWER(facture_email) LIKE '%20191548%'  OR  id_facture_liaison IN ( select id FROM intranet_factures WHERE fusion_facture LIKE '%20191548%' ) OR  id_code_cible IN ( select id FROM migcms_codes WHERE v1 LIKE '%20191548%' AND id_code_type='2' and visible='y' ) OR  LOWER(code_promo) LIKE '%20191548%'  OR  LOWER(numero_facture) LIKE '%20191548%'  OR  LOWER(statut) LIKE '%20191548%'  OR  delai IN ( select id FROM handmade_certigreen_delais_facturation WHERE nom LIKE '%20191548%' ) OR  LOWER(delai_autre) LIKE '%20191548%'  OR  LOWER(reference) LIKE '%20191548%'  OR  envoyee_a IN ( select id FROM migcms_codes WHERE v1 LIKE '%20191548%' AND id_code_type='3' and visible='y' ) OR  LOWER(migcms_id) LIKE '%20191548%'  )  AND validation = 1 AND (type_facture IS NULL OR type_facture = '' OR (type_facture='Facture' AND numero_facture > 0) OR (type_facture='nc' AND numero_nc > 0))   AND (numero_nc IS NULL or numero_nc = 0) AND  migcms_deleted != 'y' 
